control_id,layer,context,metric,expected,actual,difference,tolerance,status,source
STRUCT-001,datos,global,celdas_cohorte_horizonte,120,120,0,0,PASS,seguimiento_*.csv.gz
CELL-2011-1-Base,medidas,cohorte=2011;horizonte=1,Base,3641,3641,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-1-Carrera,medidas,cohorte=2011;horizonte=1,Carrera,3641,3641,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-1-Institucion,medidas,cohorte=2011;horizonte=1,Institucion,3641,3641,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-1-EducacionSuperior,medidas,cohorte=2011;horizonte=1,EducacionSuperior,3641,3641,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2011-1,invariantes,cohorte=2011;horizonte=1,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2011-2-Base,medidas,cohorte=2011;horizonte=2,Base,3641,3641,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-2-Carrera,medidas,cohorte=2011;horizonte=2,Carrera,2162,2162,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-2-Institucion,medidas,cohorte=2011;horizonte=2,Institucion,2248,2248,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-2-EducacionSuperior,medidas,cohorte=2011;horizonte=2,EducacionSuperior,2446,2446,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2011-2,invariantes,cohorte=2011;horizonte=2,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2011-3-Base,medidas,cohorte=2011;horizonte=3,Base,3641,3641,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-3-Carrera,medidas,cohorte=2011;horizonte=3,Carrera,1395,1395,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-3-Institucion,medidas,cohorte=2011;horizonte=3,Institucion,1770,1770,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-3-EducacionSuperior,medidas,cohorte=2011;horizonte=3,EducacionSuperior,2159,2159,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2011-3,invariantes,cohorte=2011;horizonte=3,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2011-4-Base,medidas,cohorte=2011;horizonte=4,Base,3641,3641,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-4-Carrera,medidas,cohorte=2011;horizonte=4,Carrera,486,486,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-4-Institucion,medidas,cohorte=2011;horizonte=4,Institucion,803,803,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-4-EducacionSuperior,medidas,cohorte=2011;horizonte=4,EducacionSuperior,1367,1367,0,0,PASS,resultados_control.csv vs seguimiento
ORDER-2011-4,invariantes,cohorte=2011;horizonte=4,Carrera<=Institucion<=EducacionSuperior<=Base,1,1,0,0,PASS,seguimiento
CELL-2011-5-Base,medidas,cohorte=2011;horizonte=5,Base,3641,3641,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-5-Carrera,medidas,cohorte=2011;horizonte=5,Carrera,198,198,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-5-Institucion,medidas,cohorte=2011;horizonte=5,Institucion,380,380,0,0,PASS,resultados_control.csv vs seguimiento
CELL-2011-5-EducacionSuperior,medidas,cohorte=2011;horizonte=5,EducacionSuperior,978,978,0,0,PASS,resultados_control.csv vs seguimiento
