Cohorte;TotalTrayectorias;PersonasUnicas;SinMatriculaPrevia;ConMatriculaPrevia;AntecedenteOtraIES;AntecedenteOnlineOtraIES;PreviaSoloIPLACEX
2012;239;239;220;19;18;1;1
2013;227;227;193;34;27;4;7
2014;209;209;149;60;60;3;0
2015;839;839;667;172;159;13;13
2016;1674;1674;1214;460;449;65;11
2017;208;208;127;81;73;3;8
2018;2755;2751;1639;1116;1067;203;49
2019;3680;3675;1967;1713;1632;358;81
2020;3733;3721;1773;1960;1887;397;73
2021;4760;4755;2289;2471;2407;524;64
2022;7452;7451;3719;3733;3652;710;81
2023;8255;8245;3828;4427;4353;868;74
2024;11641;11627;5110;6531;6444;1330;87
2025;16233;16214;6856;9377;9220;2139;157
