Cohorte;AnioDesdeIngreso;AnioObservado;TipoInstitucion;AmbitoFlexible;GrupoECS;BaseTrayectorias;RetenidosCarrera;RetenidosInstitucion;RetenidosEducacionSuperior;Personas;PersonasInstitucion;PersonasEducacionSuperior
2011;1;2011;Centros de Formación Técnica;No presencial;Resto IP+CFT;14;14;14;14;14;14;14
2011;1;2011;Centros de Formación Técnica;Semipresencial;Resto IP+CFT;972;972;972;972;972;972;972
2011;1;2011;Institutos Profesionales;No presencial;Resto IP+CFT;583;583;583;583;583;583;583
2011;1;2011;Institutos Profesionales;Semipresencial;Resto IP+CFT;2072;2072;2072;2072;2072;2072;2072
2011;2;2012;Centros de Formación Técnica;No presencial;Resto IP+CFT;14;2;2;3;14;2;3
2011;2;2012;Centros de Formación Técnica;Semipresencial;Resto IP+CFT;972;667;684;730;972;684;730
2011;2;2012;Institutos Profesionales;No presencial;Resto IP+CFT;583;266;280;304;583;280;304
2011;2;2012;Institutos Profesionales;Semipresencial;Resto IP+CFT;2072;1227;1282;1409;2072;1282;1409
2011;3;2013;Centros de Formación Técnica;No presencial;Resto IP+CFT;14;1;1;3;14;1;3
2011;3;2013;Centros de Formación Técnica;Semipresencial;Resto IP+CFT;972;489;508;661;972;508;661
2011;3;2013;Institutos Profesionales;No presencial;Resto IP+CFT;583;165;175;219;583;175;219
2011;3;2013;Institutos Profesionales;Semipresencial;Resto IP+CFT;2072;740;1086;1276;2072;1086;1276
2011;4;2014;Centros de Formación Técnica;No presencial;Resto IP+CFT;14;0;0;3;14;0;3
2011;4;2014;Centros de Formación Técnica;Semipresencial;Resto IP+CFT;972;51;63;315;972;63;315
2011;4;2014;Institutos Profesionales;No presencial;Resto IP+CFT;583;61;139;194;583;139;194
2011;4;2014;Institutos Profesionales;Semipresencial;Resto IP+CFT;2072;374;601;855;2072;601;855
2011;5;2015;Centros de Formación Técnica;No presencial;Resto IP+CFT;14;0;0;4;14;0;4
2011;5;2015;Centros de Formación Técnica;Semipresencial;Resto IP+CFT;972;14;25;269;972;25;269
2011;5;2015;Institutos Profesionales;No presencial;Resto IP+CFT;583;35;52;116;583;52;116
2011;5;2015;Institutos Profesionales;Semipresencial;Resto IP+CFT;2072;149;303;589;2072;303;589
2011;6;2016;Centros de Formación Técnica;No presencial;Resto IP+CFT;14;0;0;5;14;0;5
2011;6;2016;Centros de Formación Técnica;Semipresencial;Resto IP+CFT;972;9;15;234;972;15;234
2011;6;2016;Institutos Profesionales;No presencial;Resto IP+CFT;583;18;34;111;583;34;111
2011;6;2016;Institutos Profesionales;Semipresencial;Resto IP+CFT;2072;60;162;455;2072;162;455
2011;7;2017;Centros de Formación Técnica;No presencial;Resto IP+CFT;14;1;1;6;14;1;6
2011;7;2017;Centros de Formación Técnica;Semipresencial;Resto IP+CFT;972;5;6;184;972;6;184
2011;7;2017;Institutos Profesionales;No presencial;Resto IP+CFT;583;9;27;97;583;27;97
2011;7;2017;Institutos Profesionales;Semipresencial;Resto IP+CFT;2072;28;101;366;2072;101;366
2011;8;2018;Centros de Formación Técnica;No presencial;Resto IP+CFT;14;0;0;4;14;0;4
2011;8;2018;Centros de Formación Técnica;Semipresencial;Resto IP+CFT;972;0;0;130;972;0;130
2011;8;2018;Institutos Profesionales;No presencial;Resto IP+CFT;583;12;21;84;583;21;84
2011;8;2018;Institutos Profesionales;Semipresencial;Resto IP+CFT;2072;13;59;307;2072;59;307
